trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,rot_w,torso,arm1,arm2,arm3,arm4,arm5,arm6,arm7
1.204,0.081,0.493,0.622,0.463,0.581,-0.247,0.325,0.073,-0.547,-0.242,1.699,0.124,0.375,0.137
1.0795,0.2786,0.739,0.1106,0.644,0.72,-0.347,0.3477,0.361,-0.515,-0.088,2.205,-0.3716,0.52535,-0.389
1.048,0.43,0.486,-0.003,-0.784,-0.273,0.558,0.314,1.367,-0.706,-0.343,1.644,-0.099,0.09,-0.101
1.053,0.457,0.673,-0.386,0.587,0.636,-0.32,0.23,1.274,-0.516,-0.548,2.085,-0.56,0.605,-0.577
1.46,0.098,0.519,0.423,0.645,0.632,-0.079,0.153,0.282,-0.396,-1.056,1.805,-0.545,0.971,0.003
1.324,0.294,0.46,0.37,0.75,0.435,-0.333,0.346,0.834,-0.702,-0.52,1.33,0.013,0.096,0.015
1.55,0.227,0.67,-0.602,0.587,0.05,0.539,0.141,0.7,-0.095,-1.35,1.47,-1.406,0.69,-1.039
1.283,0.486,0.45,0.13,0.841,0.35,-0.39,0.306,1.337,-0.65,-0.643,1.328,-0.03,0.025,-0.03
1.298,0.5,0.67,-0.156,0.744,0.603,-0.243,0.284,1.193,-0.372,-0.761,1.778,-0.25,0.49,-0.299
1.614,-0.132,0.306,0.078,-0.581,0.808,-0.053,0.054,1.18,-0.703,-3.37,-0.074,1.911,-1.153,-0.69
1.624,0.059,0.394,0.217,-0.54,0.733,0.35,0.201,0.869,-0.444,-0.78,0.868,0.118,-0.027,0.1186
1.639,0.0577,0.6458,0.123,-0.612,0.759,0.183,0.342,0.735,-0.365,-0.907,1.07,-0.0244,0.231,0.003
1.57,0.295,0.4095,0.35,-0.498,0.77,0.187,0.234,1.119,-0.494,-0.779,1.005,0.0613,-0.02175,0.06157
1.6055,0.2727,0.617,0.157,-0.475,0.853,-0.151,0.19,0.838,-0.227,-1.096,1.415,-0.612,0.123,0.025
1.533,0.516,0.402,0.388,-0.44,0.807,-0.01,0.1546,1.435,-0.401,-0.882,1.062,0.0014759,-0.0256,0.0014759
1.5535,0.5116,0.641,0.335,-0.4776,0.803,-0.122,0.314,1.355,-0.298,-0.93,1.21,0.0782,0.109,-0.079
