x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,torso,arm1,arm2,arm3,arm4,arm5,arm6,arm7
0.688,-0.002,0.477,0.717,-0.127,0.363,0.798,0.011,0.404,0.806,-0.075,0.338,0.164,0.313,-0.319,-0.303,2.042,0.418,0.997,-0.187
0.633,-0.024,0.587,0.695,-0.151,0.49,0.736,0.008,0.51,0.767,-0.081,0.455,0.344,0.094,-0.445,-0.342,1.817,-0.032,0.541,-0.097
0.665,-0.004,0.617,0.768,-0.138,0.595,0.794,0.023,0.619,0.8489,0.07,0.607,0.349,0.071,-0.522,-0.496,1.819,-0.332,0.843,-0.357
0.66,0.165,0.396,0.654,-0.006,0.379,0.668,0.119,0.271,0.665,0.011,0.275,0.273,0.668,-0.785,-0.506,1.758,-1.238,-1.181,1.77
0.864,-0.238,0.618,0.851,-0.085,0.694,0.919,-0.137,0.552,0.901,-0.046,0.609,0.057,0.147,0.671,-1.377,2.073,-1.953,0.426,0.017
0.751,-0.075,0.589,0.823,-0.052,0.743,0.797,0.047,0.613,0.838,0.048,0.714,0.292,0.391,0.066,-0.717,2.041,-0.892,0.717,-0.8
0.564,0.192,0.536,0.644,0.125,0.399,0.578,0.273,0.432,0.631,0.221,0.354,0.346,0.808,-0.799,-0.356,1.596,0.052,0.191,0.024
0.521,0.158,0.577,0.666,0.143,0.487,0.572,0.272,0.533,0.664,0.249,0.48,0.287,0.635,-0.674,-0.326,1.949,-0.262,0.489,-0.297
0.524,0.108,0.631,0.691,0.126,0.597,0.564,0.231,0.602,0.671,0.229,0.585,0.342,0.711,-0.457,-0.332,2.073,-0.43,0.484,-0.434
0.531,0.228,0.481,0.667,0.23,0.376,0.519,0.305,0.373,0.612,0.299,0.317,0.323,1.33,-0.703,-0.442,1.534,-0.067,0.071,-0.069
0.525,0.216,0.562,0.669,0.258,0.48,0.523,0.333,0.499,0.62,0.349,0.454,0.311,1.186,-0.601,-0.472,1.834,-0.209,0.326,-0.234
0.556,0.247,0.562,0.71,0.315,0.591,0.557,0.377,0.586,0.66,0.407,0.605,0.237,1.221,-0.443,-0.667,2.037,-0.472,0.619,-0.507
0.669,0.341,0.613,0.765,0.364,0.753,0.663,0.441,0.692,0.699,0.443,0.777,0.194,1.348,-0.117,-1.078,2.04,-0.647,0.779,-0.664
0.802,-0.023,0.435,0.832,-0.176,0.363,0.859,-0.02,0.316,0.875,-0.122,0.283,0.35,0.578,-0.645,-0.56,1.115,0.127,0.067,0.128
0.913,-0.329,0.346,0.969,-0.299,0.506,1.033,-0.273,0.355,1.055,-0.258,0.461,0.145,0.383,-0.153,-0.742,1.213,-0.479,0.655,-1.137
0.796,-0.043,0.595,0.905,-0.175,0.584,0.923,-0.011,0.577,0.981,-0.103,0.574,0.343,0.334,-0.397,-0.699,1.603,-0.199,0.669,-0.203
0.994,-0.41,0.702,1.01,-0.283,0.816,1.079,-0.314,0.669,1.078,-0.239,0.748,0.054,0.412,0.649,-1.004,1.121,-1.268,0.974,-0.328
0.908,0.093,0.586,0.878,0.04,0.425,0.988,0.144,0.493,0.96,0.101,0.397,0.236,0.451,-0.826,-1.065,1.717,1.338,0.307,-0.693
