x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,torso,arm1,arm2,arm3,arm4,arm5,arm6,arm7,wb,rbx,rby,rbz,xb,yb,zb
0.811,-0.135,0.413,0.811,-0.009,0.508,0.901,-0.083,0.391,0.893,0.002,0.457,0.164,0.313,-0.319,-0.302,2.043,0.418,0.997,-0.187,,,,,,,
0.789,-0.016,0.54,0.754,-0.027,0.618,0.86,-0.089,0.508,0.83,-0.001,0.562,0.345,0.094,-0.445,0.342,1.817,-0.031,0.541,-0.097,,,,,,,
0.862,-0.148,0.647,0.793,-0.008,0.67,0.942,-0.079,0.66,0.889,0.013,0.772,0.35,0.07,-0.522,-0.496,1.819,-0.33,0.849,-0.363,,,,,,,
0.747,-0.014,0.431,0.76,0.143,0.412,0.762,0.002,0.327,0.768,0.109,0.321,0.273,0.668,-0.785,0.506,1.758,-1.238,-1.181,1.77,,,,,,,
0.945,-0.095,0.746,0.972,-0.221,0.654,0.995,-0.058,0.661,1.012,-0.147,0.604,0.057,0.147,0.671,-1.377,2.073,-1.953,0.426,0.017,,,,,,,
0.917,-0.063,0.796,0.867,-0.052,0.65,0.93,0.038,0.768,0.89,0.038,0.668,0.292,0.391,0.066,-0.717,2.041,-0.892,0.716,-0.8,,,,,,,
0.738,0.117,0.45,0.663,0.203,0.56,0.725,0.213,0.408,0.672,0.265,0.485,0.346,0.808,-0.798,-0.357,1.596,0.052,0.191,0.024,,,,,,,
0.76,0.135,0.538,0.63,0.678,0.617,0.758,0.241,0.534,0.667,0.263,0.586,0.287,0.635,-0.674,-0.326,1.949,-0.261,0.489,-0.297,,,,,,,
0.786,0.117,0.649,0.63,0.131,0.675,0.764,0.22,0.638,0.658,0.222,0.654,0.342,0.711,-0.457,-0.332,2.073,-0.43,0.484,-0.434,,,,,,,
0.762,0.222,0.427,0.624,0.24,0.593,0.707,0.292,0.371,0.615,0.297,0.426,0.323,1.33,-0.703,-0.441,1.534,-0.067,0.071,-0.069,,,,,,,
0.764,0.25,0.532,0.62,0.238,0.596,0.714,0.34,0.507,0.617,0.324,0.551,0.311,1.186,-0.601,-0.471,1.833,-0.209,0.326,-0.234,,,,,,,
0.805,0.307,0.644,0.653,0.273,0.621,0.754,0.398,0.659,0.652,0.369,0.639,0.237,1.221,-0.443,-0.667,2.037,-0.472,0.619,-0.507,,,,,,,
0.961,0.355,0.807,0.756,0.359,0.688,0.793,0.432,0.832,0.727,0.432,0.747,0.194,1.348,-0.117,-1.078,2.04,-0.647,0.779,-0.664,,,,,,,
0.928,-0.188,0.416,0.913,-0.035,0.456,0.973,-0.133,0.337,0.957,-0.032,0.369,0.35,0.578,-0.645,-0.56,1.115,0.127,0.067,0.128,,,,,,,
1.063,-0.31,0.559,1.039,-0.324,0.403,1.148,-0.267,0.512,1.127,-0.282,0.408,0.145,0.383,-0.153,-0.742,1.213,-0.479,0.655,-1.137,,,,,,,
0.999,-0.186,0.636,0.925,-0.046,0.643,1.075,-0.113,0.627,1.018,-0.022,0.63,0.343,0.334,-0.397,-0.699,1.603,-0.199,0.669,-0.203,,,,,,,
