x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,torso,arm1,arm2,arm3,arm4,arm5,arm6,arm7
0.906,0.568,0.644,0.752,0.544,0.622,0.861,0.662,0.659,0.757,0.64,0.64,0.237,1.221,-0.443,-0.667,2.037,-0.472,0.619,-0.507
0.965,0.613,0.808,0.859,0.624,0.691,0.902,0.694,0.833,0.836,0.698,0.749,0.194,1.348,-0.117,-1.078,2.04,-0.647,0.779,-0.664
0.996,0.07,0.416,0.993,0.223,0.457,1.044,0.122,0.337,1.036,0.224,0.37,0.35,0.579,-0.645,-0.56,1.115,0.127,0.067,0.128
1.128,-0.065,0.56,1.103,-0.076,0.405,1.215,-0.027,0.515,1.193,-0.04,0.41,0.145,0.383,-0.153,-0.742,1.213,-0.479,0.655,-1.137
1.069,0.064,0.636,1.005,0.208,0.645,1.15,0.131,0.627,1.1,0.226,0.631,0.343,0.334,-0.397,-0.699,1.603,0.669,-0.203,0.031
1.17,-0.051,0.871,1.169,-0.15,0.748,1.238,-0.01,0.801,1.235,-0.083,0.722,0.054,0.412,0.649,-1.004,1.121,-1.268,0.974,-0.328
1.055,0.284,0.478,1.11,0.345,0.614,1.142,0.339,0.452,1.173,0.379,0.547,0.236,0.451,-0.826,-1.065,1.717,1.338,0.307,-0.693
1.092,0.091,0.545,0.958,0.009,0.563,1.04,0.102,0.454,0.953,0.042,0.471,0.214,1.018,0.34,-0.061,1.617,-1.695,0.665,0.59
1.062,0.224,0.64,0.953,0.338,0.65,1.115,0.316,0.629,1.035,0.388,0.634,0.343,0.464,-0.499,-0.709,1.742,-0.331,0.494,-0.273
1.148,0.155,0.782,1.064,0.169,0.649,1.181,0.245,0.737,1.122,0.247,0.647,0.277,0.613,0.22,-0.703,1.757,-0.639,0.7,-0.541
1.001,0.349,0.421,0.901,0.456,0.479,1.001,0.428,0.351,0.929,0.496,0.394,0.348,1.036,-0.706,-0.566,1.276,0.016,0.043,0.016
1.032,0.375,0.518,0.902,0.454,0.563,1.049,0.476,0.491,0.957,0.523,0.521,0.289,0.803,-0.567,-0.656,1.69,-0.192,0.339,-0.201
1.105,0.353,0.629,0.964,0.379,0.562,1.107,0.454,0.597,1.01,0.464,0.551,0.266,0.894,-0.166,-0.634,1.778,-0.478,0.565,-0.431
1.198,0.324,0.898,1.1289,0.343,0.77,1.249,0.417,0.912,1.31,0.422,0.824,0.118,0.809,-0.099,-1.68,1.6,-1.123,0.374,-0.946
1.023,0.49,0.41,0.886,0.554,0.456,1.004,0.568,0.342,0.909,0.605,0.376,0.3,1.343,-0.638,-0.663,1.307,-0.027,0.02,-0.027
1.035,0.504,0.523,0.89,0.55,0.564,1.02,0.597,0.476,0.92,0.621,0.505,0.334,1.229,-0.55,-0.699,1.526,-0.118,0.189,-0.131
1.077,0.53,0.633,0.921,0.549,0.619,1.062,0.633,0.614,0.956,0.639,0.603,0.296,1.209,-0.325,-0.757,1.737,-0.259,0.481,-0.303
1.166,0.564,0.791,1.075,0.587,0.663,1.146,0.668,0.788,1.086,0.677,0.699,0.181,1.259,0.09,-1.052,1.69,-0.484,0.718,-0.499
1.17,0.042,0.391,1.152,0.199,0.395,1.227,0.08,0.31,1.208,0.185,0.317,0.247,0.824,-0.508,-0.743,0.902,0.123,-0.019,0.124
1.312,0.047,0.523,1.363,0.191,0.565,1.41,0.033,0.561,1.439,0.133,0.585,0.15,1.232,-0.989,-2.854,0.849,-1.106,0.507,-0.026
1.214,0.027,0.628,1.163,0.177,0.616,1.294,0.081,0.585,1.253,0.18,0.577,0.349,0.636,-0.353,-0.86,1.205,-0.085,0.327,-0.072
1.268,-0.025,0.761,1.208,0.081,0.66,1.35,0.034,0.729,1.304,0.101,0.66,0.294,0.644,-0.01,-0.79,1.213,-0.271,0.603,-0.24
1.171,0.191,0.398,1.109,0.336,0.413,1.21,0.248,0.318,1.162,0.343,0.333,0.275,0.985,-0.551,-0.726,1.008,0.083,-0.014,0.084
1.183,0.197,0.516,1.115,0.338,0.541,1.234,0.265,0.453,1.181,0.357,0.472,0.35,0.875,-0.524,-0.815,1.158,0.009,0.12,0.008
1.219,0.165,0.629,1.113,0.278,0.598,1.272,0.239,0.574,1.194,0.311,0.554,0.35,0.799,-0.279,0.747,1.355,-0.184,0.298,-0.159
1.289,0.147,0.766,1.202,0.221,0.657,1.349,0.227,0.731,1.285,0.271,0.656,0.275,0.794,0.062,-0.815,1.399,-0.339,0.572,-0.317
1.182,0.337,0.397,1.079,0.455,0.412,1.204,0.404,0.318,1.13,0.48,0.333,0.261,1.192,-0.538,-0.752,1.073,0.04,-0.018,0.04
1.195,0.341,0.515,1.084,0.452,0.533,1.224,0.421,0.452,1.144,0.491,0.467,0.327,1.091,-0.483,-0.812,1.235,-0.036,0.111,-0.036
1.231,0.34,0.631,1.103,0.432,0.614,1.265,0.43,0.587,0.174,0.486,0.576,0.333,1.009,-0.322,-0.852,1.416,-0.178,0.28,-0.154
1.312,0.331,0.77,1.216,0.387,0.658,1.352,0.426,0.743,1.284,0.457,0.666,0.216,1.009,0.117,-0.944,1.464,-0.333,0.522,-0.32
1.206,0.488,0.388,1.073,0.575,0.394,1.218,0.564,0.315,1.125,0.616,0.322,0.199,1.416,-0.462,-0.837,1.11,-0.002,-0.02,-0.002
1.214,0.49,0.511,1.079,0.571,0.516,1.228,0.573,0.447,1.133,0.621,0.452,0.287,1.362,-0.419,-0.87,1.205,-0.045,0.056,-0.047
1.239,0.492,0.634,1.096,0.558,0.615,1.256,0.582,0.581,1.156,0.62,0.57,0.335,1.311,-0.302,-0.88,1.322,-0.121,0.178,-0.125
1.308,0.506,0.765,1.191,0.552,0.67,1.332,0.604,0.736,1.251,0.629,0.67,0.234,1.268,0.022,-1.029,1.409,-0.276,0.363,-0.273
1.366,0.01,0.384,1.358,0.162,0.342,1.446,0.026,0.316,1.433,0.129,0.289,0.015,1.037,-0.206,-0.902,0.657,0.125,-0.134,0.118
1.379,0.008,0.493,1.367,0.161,0.455,1.464,0.029,0.435,1.449,0.133,0.41,0.087,0.993,-0.155,-0.995,0.732,0.092,-0.039,0.091
1.388,0.005,0.623,1.375,0.158,0.584,1.478,0.029,0.573,1.462,0.132,0.547,0.183,0.971,-0.119,-1,0.766,0.07,0.01,0.07
