x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,torso,arm1,arm2,arm3,arm4,arm5,arm6,arm7
1.011,-0.043,0.469,1.036,-0.169,0.356,1.121,-0.033,0.396,1.126,-0.12,0.33,0.164,0.313,-0.319,-0.302,2.042,0.418,0.997,-0.187
0.888,0.087,0.508,0.971,0.003,0.384,0.914,0.158,0.399,0.969,0.095,0.33,0.35,0.63,-0.737,-0.27,1.584,-0.011,-0.181,-0.012
0.879,0.094,0.57,1.032,0.049,0.534,0.96,0.1991,0.579,1.057,0.15,0.556,0.239,0.471,-0.569,0.353,2.111,-0.405,0.749,-0.483
1.235,-0.041,0.648,1.174,0.016,0.798,1.213,0.089,0.655,1.172,0.112,0.753,0.157,0.61,0.588,-1.146,2.053,-0.914,0.81,-0.902
1.236,-0.015,0.613,1.23,0.034,0.777,1.239,0.116,0.633,1.232,0.134,0.74,0.323,1.33,-0.703,-0.441,1.534,-0.067,0.071,-0.069
0.858,0.188,0.557,1.014,0.244,0.511,0.866,0.317,0.528,0.969,0.34,0.503,0.274,1.173,-0.545,-0.537,1.969,-0.323,0.498,-0.362
0.936,0.23,0.561,1.091,0.287,0.61,0.943,0.359,0.588,1.045,0.382,0.62,0.193,1.348,-0.117,-1.078,2.04,-0.647,0.779,-0.664
1.208,-0.127,0.458,1.313,-0.258,0.492,1.337,-0.104,0.436,1.392,-0.194,0.463,0.181,0.487,-0.128,-0.754,1.57,-0.008,0.593,-0.35
1.269,-0.307,0.569,1.364,-0.329,0.71,1.388,-0.248,0.569,1.436,-0.268,0.663,0.327,0.994,-0.645,-0.646,1.143,0.052,0.016,0.052
1.14,0.115,0.587,1.268,0.021,0.525,1.24,0.183,0.524,1.315,0.112,0.5,0.344,0.73,-0.612,-0.8635,1.539,-0.1266,0.33,-0.1265
1.274,-0.055,0.583,1.381,-0.045,0.716,1.356,0.049,0.583,1.416,0.045,0.673,0.237,0.805,0.225,-0.82,1.643,-0.508,0.608,-0.439
1.099,0.254,0.393,1.253,0.2,0.34,1.149,0.287,0.317,1.247,0.266,0.276,0.263,1.381,-0.563,-0.751,1.203,0.012,-0.005,-0.012
1.11,0.245,0.528,1.276,0.218,0.486,1.17,0.339,0.447,1.275,0.311,0.436,0.321,1.248,-0.425,-0.821,1.474,-0.131,0.231,-0.149
1.246,0.24,0.594,1.373,0.247,0.709,1.299,0.36,0.613,1.376,0.351,0.69,0.223,1.245,0.043,-1.002,1.575,-0.356,0.554,-0.379
1.517,-0.133,0.549,1.534,-0.186,0.386,1.629,-0.096,0.488,1.628,-0.137,0.387,0.119,1.129,0.523,-2.18,0.35,1.145,-0.675,-0.707
1.489,-0.109,0.47,1.537,-0.272,0.495,1.603,-0.145,0.412,1.623,-0.249,0.437,0.139,0.983,-0.14,-0.976,0.748,0.082,-0.017,0.082
1.507,-0.122,0.611,1.558,0.28,0.653,1.631,-0.153,0.577,1.651,-0.254,0.61,0.235,0.95,-0.033,-1.064,0.792,0.038,0.078,0.036
1.415,0.102,0.318,1.522,-0.032,0.329,1.523,0.108,0.24,1.583,0.019,0.258,0.209,1.18,-0.221,-0.975,0.923,0.024,0.02,0.024
1.446,0.091,0.588,1.559,-0.033,0.622,1.569,0.114,0.546,1.631,0.029,0.576,0.273,1.125,-0.081,-1.087,1.011,-0.049,0.152,-0.05
1.4567,0.087,0.645,1.569,-0.033,0.691,1.582,0.115,0.619,1.643,0.032,0.655,0.015,1.57,-0.205,-0.981,0.761,0.061,-0.161,0.057
1.401,0.301,0.305,1.536,0.202,0.325,1.508,0.229,0.334,1.587,0.255,0.263,0.095,1.5,-0.096,-1.089,0.877,0.002,-0.041,0.001
1.421,0.305,0.461,1.56,0.211,0.497,1.536,0.352,0.414,1.616,0.285,0.446,0.209,1.485,-0.003,-1.154,-0.896,-0.022,0,-0.021
